Yıl;Ay;Gıda;Alkolsüz İçecekler;Giyim Ve Ayakkabı;Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar;Gerçek Kira;Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler;Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri;Sağlık;Ulaştırma Hizmetleri;Haberleşme;Eğlence Ve Kültür;Eğitim;Kişisel Bakım;Sigorta
2004;Aralık;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2005;Ocak;111.72;115.23;110.77;115.51;133.14;111.0;125.43;112.84;123.8;103.99;113.37;130.87;112.81;127.14
2005;Şubat;112.75;115.28;103.13;116.11;134.79;110.82;126.75;112.38;124.22;104.17;113.07;130.31;113.91;130.53
2005;Mart;112.85;115.51;99.69;117.37;136.23;111.06;126.0;113.38;124.89;104.43;111.89;130.18;115.35;128.74
2005;Nisan;111.65;116.05;108.26;117.82;137.22;105.29;127.15;114.17;125.28;104.19;111.0;130.06;116.16;123.83
2005;Mayıs;111.63;116.51;117.82;117.47;138.92;103.16;129.23;114.27;126.51;105.05;115.51;130.53;116.16;122.0
2005;Haziran;109.66;116.66;118.78;118.14;141.32;103.53;131.54;114.39;127.44;104.44;120.14;134.76;116.76;127.27
2005;Temmuz;108.24;117.59;109.93;119.17;144.04;102.27;132.15;112.81;129.79;104.27;121.39;135.98;116.99;126.82
2005;Ağustos;108.11;118.28;104.36;120.25;147.83;103.21;131.56;111.16;132.83;104.57;123.04;136.93;117.28;130.87
2005;Eylül;109.6;119.34;105.56;122.41;151.3;103.71;128.61;111.36;135.09;105.13;119.68;140.37;117.31;132.18
2005;Ekim;112.21;119.9;113.21;124.21;154.0;103.94;133.51;111.53;135.82;106.36;118.96;140.49;117.85;130.54
2005;Kasım;116.11;120.3;117.21;125.51;155.8;104.07;136.05;111.65;136.44;106.14;118.05;140.69;118.15;135.38
2005;Aralık;115.7;121.42;116.52;126.06;157.42;104.24;136.71;111.75;136.59;105.88;118.62;140.69;118.4;135.42
2006;Ocak;117.28;122.18;109.24;127.66;159.49;107.78;136.82;112.47;137.71;107.99;117.78;140.73;118.74;136.48
2006;Şubat;120.25;122.74;100.26;129.22;162.26;110.37;128.84;113.22;138.22;107.64;115.84;140.7;119.24;143.56
2006;Mart;121.91;122.82;97.33;130.0;163.84;110.57;128.19;113.64;138.32;106.82;114.88;140.91;119.01;142.2
2006;Nisan;122.69;123.05;106.27;130.27;165.52;110.74;131.51;113.96;138.68;106.68;117.6;141.07;119.16;143.94
2006;Mayıs;123.61;123.27;117.83;130.92;167.5;110.26;130.32;116.81;139.22;107.31;120.78;141.47;119.0;144.06
2006;Haziran;119.97;124.29;118.82;133.77;169.88;111.37;134.2;117.29;140.2;108.33;123.82;144.24;119.21;143.25
2006;Temmuz;121.6;127.18;110.58;136.12;173.56;112.96;136.97;116.2;143.37;108.53;125.35;145.8;120.75;144.44
2006;Ağustos;119.91;129.12;102.93;137.72;177.0;113.48;140.22;118.11;146.76;107.91;126.55;146.39;122.87;149.08
2006;Eylül;123.52;130.17;105.42;139.12;181.21;113.47;144.6;120.14;148.98;107.8;127.39;151.74;124.2;144.81
2006;Ekim;124.5;130.38;115.61;140.91;184.22;114.8;144.37;120.39;150.45;107.61;129.29;151.67;124.71;146.01
2006;Kasım;128.07;130.95;121.16;142.74;186.84;115.15;140.53;120.59;150.76;107.45;126.89;151.51;123.35;145.81
2006;Aralık;128.83;131.83;118.74;143.76;188.92;115.29;141.18;120.61;154.19;107.3;128.41;151.56;123.79;147.39
2007;Ocak;134.85;132.91;108.73;145.46;191.92;120.25;139.25;121.41;154.7;109.14;128.43;151.56;124.15;151.08
2007;Şubat;137.07;134.24;101.69;146.18;194.45;121.06;139.78;121.96;154.45;109.04;127.46;151.68;125.17;153.45
2007;Mart;137.92;135.06;101.41;146.77;196.37;121.41;140.81;122.29;154.35;108.5;126.98;151.53;125.66;154.86
2007;Nisan;139.28;135.4;112.88;147.17;198.45;121.89;140.93;122.63;155.19;107.89;127.87;152.06;125.68;155.78
2007;Mayıs;136.85;135.08;125.69;147.72;200.8;123.02;146.03;122.73;155.23;107.63;125.59;152.68;125.4;156.41
2007;Haziran;133.97;135.85;127.32;148.3;202.91;123.68;146.31;122.81;156.98;109.15;127.24;156.07;125.06;159.84
2007;Temmuz;132.91;136.79;117.5;149.12;205.81;123.98;146.21;122.93;158.38;107.61;127.55;157.19;125.06;159.44
2007;Ağustos;135.21;138.17;109.12;150.17;208.71;124.06;145.64;123.09;158.98;104.47;128.28;157.6;125.4;161.69
2007;Eylül;138.41;139.8;110.89;151.62;212.17;125.03;138.67;123.19;160.28;103.95;127.37;161.19;125.94;159.24
2007;Ekim;143.41;140.26;120.0;152.6;215.33;125.29;138.5;123.28;161.84;103.93;127.7;160.88;127.14;167.01
2007;Kasım;144.2;141.04;125.16;158.72;217.52;142.88;139.68;122.45;161.47;103.87;127.34;160.68;128.33;165.59
2007;Aralık;144.69;141.89;123.59;160.26;219.17;143.12;139.95;121.63;163.34;105.39;126.79;160.6;128.3;163.89
2008;Ocak;147.62;140.31;110.96;167.09;221.53;147.1;143.54;121.84;166.9;106.46;125.46;160.64;128.58;167.94
2008;Şubat;155.47;141.44;103.27;167.74;223.73;147.4;144.13;121.93;167.56;106.59;125.46;160.59;129.51;166.93
2008;Mart;157.05;143.57;105.13;168.36;225.29;148.14;144.61;122.03;170.03;107.05;127.09;161.22;130.0;165.85
2008;Nisan;158.63;144.99;117.42;169.57;227.02;149.27;145.11;122.1;172.95;107.09;126.92;161.42;131.07;165.53
2008;Mayıs;158.99;146.08;131.5;170.26;228.96;150.75;151.26;122.17;176.05;107.05;128.93;162.89;132.76;163.96
2008;Haziran;153.07;148.77;130.96;172.48;231.46;151.13;153.53;122.31;180.19;107.76;129.83;166.78;134.07;163.3
2008;Temmuz;153.67;150.48;120.48;181.69;234.0;151.39;153.9;122.43;182.92;108.74;130.39;168.22;134.46;161.68
2008;Ağustos;153.56;151.45;113.19;185.55;236.52;154.62;152.98;124.31;185.05;109.23;130.7;169.07;135.83;157.89
2008;Eylül;153.89;152.67;113.77;186.84;239.75;146.85;152.03;124.35;188.03;110.73;130.72;172.52;135.95;157.71
2008;Ekim;160.24;153.53;123.4;193.93;242.66;148.2;151.92;124.4;189.56;110.69;132.44;172.14;136.65;155.08
2008;Kasım;161.4;154.17;126.65;197.97;244.18;149.05;151.61;124.47;189.98;110.88;134.84;172.5;137.12;153.79
2008;Aralık;162.16;155.14;121.69;196.92;245.14;149.16;151.18;124.08;190.92;111.44;135.64;172.36;137.96;152.52
2009;Ocak;164.64;155.96;111.67;198.29;246.98;159.16;149.06;124.26;189.46;112.33;138.13;172.35;139.87;154.69
2009;Şubat;164.59;157.01;105.44;196.32;248.05;159.01;149.02;124.39;189.05;111.0;137.89;171.76;140.55;153.42
2009;Mart;171.44;157.59;105.51;196.08;248.84;159.2;147.07;124.41;188.45;110.38;137.66;171.94;141.21;153.28
2009;Nisan;170.75;158.2;117.06;194.05;249.68;159.33;137.23;127.15;188.27;110.69;139.17;172.11;141.32;154.55
2009;Mayıs;170.99;159.44;130.48;190.34;250.68;159.99;136.14;127.37;188.7;110.88;138.78;173.31;141.59;154.18
2009;Haziran;168.06;160.68;129.45;191.67;251.68;162.91;137.58;127.37;191.15;112.18;140.13;174.92;142.28;156.09
2009;Temmuz;166.87;161.28;121.74;192.3;252.86;163.07;138.66;127.44;192.48;112.37;143.72;176.54;143.24;161.32
2009;Ağustos;164.06;161.32;115.38;193.73;254.16;167.63;139.11;127.48;192.87;112.59;144.12;176.91;143.09;160.44
2009;Eylül;164.4;161.87;114.21;194.96;255.29;170.58;139.44;127.57;193.34;112.72;147.5;181.33;143.42;163.36
2009;Ekim;169.54;162.88;123.79;199.1;256.48;170.64;149.97;127.65;194.48;114.08;148.75;181.64;143.8;164.07
2009;Kasım;173.52;163.15;129.42;200.48;257.43;170.79;150.09;127.67;194.42;114.11;148.31;181.79;143.69;163.99
2009;Aralık;177.59;163.77;125.81;201.47;258.09;170.91;148.48;127.11;195.75;115.17;147.74;181.79;143.22;166.07
2010;Ocak;180.56;164.31;115.49;204.52;259.11;176.52;150.37;126.97;198.68;114.89;147.34;181.91;142.88;171.14
2010;Şubat;190.24;164.27;109.43;205.32;259.84;176.43;150.57;126.71;199.93;115.02;146.5;181.94;143.43;173.01
2010;Mart;191.5;164.23;110.19;205.73;260.58;178.19;150.49;126.76;200.53;118.63;147.51;182.59;142.97;173.98
2010;Nisan;191.72;165.16;121.85;205.97;261.22;178.19;154.4;127.94;200.94;112.9;146.8;182.43;143.23;173.07
2010;Mayıs;182.72;165.68;135.45;206.77;261.8;180.24;155.5;127.91;202.03;111.39;146.12;183.53;143.6;173.38
2010;Haziran;177.71;166.73;135.93;207.72;262.28;183.3;156.05;127.92;203.17;112.17;145.98;185.44;142.37;172.95
2010;Temmuz;176.19;168.24;128.87;208.3;263.42;183.44;158.89;128.25;205.54;112.05;145.4;187.08;142.34;176.84
2010;Ağustos;181.67;169.67;122.7;208.61;264.5;183.21;158.98;127.39;206.18;110.97;145.55;187.34;142.57;176.06
2010;Eylül;190.8;170.43;119.99;209.3;265.7;183.12;158.98;127.6;206.89;108.92;146.8;189.52;143.27;176.39
2010;Ekim;199.96;171.23;129.15;209.69;266.77;183.37;158.0;127.78;207.73;108.23;145.12;189.69;144.26;175.94
2010;Kasım;195.91;171.59;134.15;210.91;267.78;184.85;158.24;127.79;209.44;108.58;143.95;189.43;145.0;176.74
2010;Aralık;190.36;171.34;131.77;213.37;268.31;187.91;157.66;127.84;209.53;111.46;144.31;189.52;145.79;177.16
2011;Ocak;193.58;172.28;121.54;214.61;269.31;192.65;157.43;128.2;211.8;112.81;144.2;189.59;146.44;179.72
2011;Şubat;198.74;173.64;115.28;214.32;270.23;188.78;158.43;128.34;213.16;113.3;143.62;189.85;148.14;180.2
2011;Mart;197.84;174.07;116.17;215.14;271.2;189.53;159.27;128.53;214.31;113.68;144.28;190.41;148.81;180.12
2011;Nisan;196.83;174.09;128.84;215.98;271.97;190.1;164.7;128.67;215.2;111.59;144.4;190.89;149.45;180.45
2011;Mayıs;206.72;174.79;143.89;217.15;272.9;190.91;165.58;128.81;216.38;111.07;145.83;193.06;150.17;183.63
2011;Haziran;192.48;175.88;144.81;217.67;273.89;192.91;167.05;128.86;218.8;111.86;147.56;195.78;150.68;184.4
2011;Temmuz;189.91;177.56;137.8;217.79;275.05;192.17;168.77;127.93;220.49;112.07;148.94;197.2;151.27;187.25
2011;Ağustos;192.64;178.54;131.81;218.96;275.93;192.14;171.19;128.01;221.8;111.97;150.17;197.81;152.1;189.67
2011;Eylül;194.55;180.29;127.54;220.34;277.59;193.04;171.87;128.05;225.51;112.17;150.82;201.35;153.51;189.93
2011;Ekim;202.83;182.48;137.73;228.25;279.03;194.04;176.4;128.09;228.03;112.81;152.45;201.83;154.71;191.96
2011;Kasım;209.76;184.92;145.43;229.64;280.21;197.02;178.57;128.38;229.25;113.82;152.47;201.97;157.92;194.1
2011;Aralık;214.03;186.96;142.28;230.86;280.96;198.6;178.92;128.27;229.4;114.22;153.68;201.79;159.17;195.14
2012;Ocak;216.51;188.29;131.07;233.9;281.93;206.08;184.2;128.39;233.4;114.21;154.95;201.69;161.08;199.24
2012;Şubat;221.34;188.57;125.74;235.3;282.91;206.66;184.91;129.24;233.95;113.99;154.42;201.91;162.26;201.7
2012;Mart;220.36;190.68;127.08;236.84;283.46;207.2;184.26;129.64;234.27;113.62;154.81;202.26;164.56;200.39
2012;Nisan;219.95;191.97;143.86;244.29;284.55;208.1;187.64;130.32;236.4;113.58;155.77;203.32;166.04;201.93
2012;Mayıs;214.22;192.56;156.23;244.39;285.5;209.2;187.56;130.45;239.1;113.35;156.29;205.55;167.76;202.1
2012;Haziran;206.24;193.25;154.95;244.72;287.05;213.91;187.8;130.62;238.47;115.53;157.7;208.99;169.36;203.95
2012;Temmuz;207.0;193.85;148.16;243.22;288.48;204.35;183.97;130.65;242.4;116.21;156.72;211.26;170.95;210.94
2012;Ağustos;210.2;194.67;141.35;244.88;290.21;204.32;186.68;130.32;242.81;116.05;157.68;213.27;171.77;216.24
2012;Eylül;215.02;195.31;137.64;246.9;291.6;204.26;186.97;130.39;246.12;117.84;157.82;210.73;173.05;231.52
2012;Ekim;218.76;196.82;147.02;255.07;293.54;205.34;188.82;130.44;248.24;119.37;157.5;211.31;174.03;239.8
2012;Kasım;218.29;198.92;156.25;256.49;295.21;207.41;190.13;130.38;248.13;119.49;157.0;211.46;174.82;254.86
2012;Aralık;221.92;199.37;153.91;257.11;296.29;207.98;190.37;130.43;248.11;120.96;156.73;211.5;175.85;260.6
2013;Ocak;231.4;200.48;143.22;258.91;297.54;216.98;194.07;131.08;250.25;120.93;157.1;211.72;176.82;268.25
2013;Şubat;233.57;200.96;134.11;259.55;298.62;218.74;197.47;131.64;251.58;121.15;156.11;212.43;177.44;270.89
2013;Mart;238.59;202.03;135.26;260.14;299.99;219.67;197.6;132.27;252.77;121.17;156.62;212.62;178.46;274.69
2013;Nisan;235.25;202.05;152.5;260.56;301.5;220.62;199.71;132.7;253.95;121.36;157.73;213.91;179.21;275.35
2013;Mayıs;229.64;203.13;165.99;260.46;302.87;221.05;198.57;132.88;256.02;121.84;158.45;217.61;180.23;273.78
2013;Haziran;234.09;203.82;163.1;261.19;304.75;222.08;199.09;133.07;258.68;121.92;160.75;221.93;180.98;270.38
2013;Temmuz;234.64;203.95;155.46;262.35;306.3;223.1;201.2;133.67;260.43;123.07;161.18;223.73;181.0;275.3
2013;Ağustos;232.65;204.46;149.84;263.24;308.02;223.84;201.59;134.18;261.74;122.98;161.89;226.4;181.15;278.83
2013;Eylül;234.37;205.92;146.43;265.05;309.94;223.87;202.54;134.39;265.49;123.08;162.46;232.1;181.61;275.01
2013;Ekim;244.15;207.06;160.43;266.0;311.75;224.82;208.14;134.66;267.28;123.08;163.47;232.74;182.03;275.87
2013;Kasım;240.52;208.29;165.68;267.16;313.86;226.74;208.98;135.69;266.66;122.57;164.53;232.74;183.42;275.18
2013;Aralık;244.14;210.01;161.41;269.55;315.56;227.13;208.75;136.75;265.98;122.41;164.85;232.76;184.58;273.51
2014;Ocak;257.57;211.27;149.16;270.87;317.12;228.87;212.85;139.3;266.04;121.68;166.92;232.89;186.2;271.63
2014;Şubat;257.79;212.79;141.61;272.11;318.48;231.45;215.2;140.36;268.25;121.91;167.97;233.39;188.06;270.36
2014;Mart;263.46;214.18;145.13;272.73;319.67;232.24;215.27;141.56;269.29;122.24;169.11;233.84;189.72;277.29
2014;Nisan;267.36;215.42;164.14;273.39;321.13;233.79;222.34;142.87;270.7;122.4;169.26;236.1;191.74;278.07
2014;Mayıs;263.4;216.55;179.22;274.37;323.04;238.27;222.16;144.27;272.7;122.26;169.61;238.43;194.07;273.48
2014;Haziran;264.17;219.26;176.98;275.02;325.48;239.08;223.76;145.69;276.51;122.36;170.28;242.53;196.17;272.12
2014;Temmuz;264.79;221.82;171.18;276.55;327.65;243.07;222.26;146.13;279.75;124.69;175.34;243.97;197.23;267.54
2014;Ağustos;267.08;224.44;162.76;277.42;329.92;244.81;221.04;146.37;282.72;124.86;176.38;245.79;198.97;263.62
2014;Eylül;267.82;226.02;158.79;278.79;332.79;245.19;221.34;146.98;287.71;124.8;176.5;250.17;200.93;260.59
2014;Ekim;275.22;228.54;174.59;286.99;335.33;248.81;222.37;148.01;290.44;124.68;176.55;251.47;202.51;260.9
2014;Kasım;275.79;230.26;181.76;287.58;336.95;251.87;224.21;148.35;286.65;124.52;174.22;252.09;203.88;260.88
2014;Aralık;275.74;230.8;175.02;287.95;338.72;251.27;224.92;148.54;286.62;124.38;174.21;252.11;204.88;261.27
2015;Ocak;286.11;231.65;162.8;291.19;340.63;268.81;230.75;150.76;286.42;125.55;177.07;252.16;206.51;265.81
2015;Şubat;293.83;234.19;152.09;292.52;342.26;271.88;230.53;151.99;287.34;126.73;178.1;251.97;206.5;268.07
2015;Mart;301.47;235.84;153.7;294.63;343.69;273.34;232.43;153.49;286.9;126.69;180.28;252.48;207.27;268.45
2015;Nisan;306.65;236.96;172.6;295.84;345.63;275.45;235.28;153.94;287.91;126.34;182.39;254.71;209.09;275.2
2015;Mayıs;297.52;240.39;189.96;297.19;347.76;278.51;237.36;154.31;291.14;126.14;184.36;255.87;209.78;284.44
2015;Haziran;288.49;241.71;187.45;298.09;349.78;280.02;235.79;155.13;292.8;126.19;189.23;257.66;211.6;284.33
2015;Temmuz;289.15;243.84;178.13;299.08;352.5;279.91;242.1;155.62;293.92;126.18;188.88;258.97;213.0;303.2
2015;Ağustos;292.84;247.9;170.44;300.13;355.12;280.81;242.92;156.2;295.1;127.4;192.59;262.61;214.04;319.28
2015;Eylül;296.37;252.14;165.74;301.88;358.09;282.02;243.4;157.89;296.92;128.32;194.82;264.93;215.42;338.82
2015;Ekim;298.65;253.61;184.69;304.33;360.65;283.98;247.73;158.54;300.78;128.64;195.73;267.65;217.01;364.88
2015;Kasım;301.8;254.54;194.6;305.97;363.26;285.83;250.21;158.96;298.5;129.09;194.67;268.11;218.58;388.38
2015;Aralık;305.74;255.53;190.75;307.28;364.9;288.43;249.68;159.18;298.58;128.81;194.34;268.22;219.76;400.97
2016;Ocak;319.69;257.54;177.96;312.53;367.72;293.32;258.56;163.03;299.77;128.87;198.4;268.44;221.99;423.08
2016;Şubat;319.31;260.1;167.0;313.65;369.7;296.39;260.21;165.97;302.59;128.33;198.14;268.74;222.99;438.77
2016;Mart;313.71;263.76;167.58;314.16;371.46;296.72;262.26;167.97;302.97;128.2;197.58;270.01;223.91;449.65
2016;Nisan;308.42;266.71;188.69;315.33;374.64;297.71;264.71;168.68;306.09;128.57;199.09;272.37;225.13;464.23
2016;Mayıs;302.8;268.18;203.87;316.53;377.52;298.97;263.69;169.1;306.85;129.75;200.9;275.21;225.62;467.61
2016;Haziran;306.54;269.01;201.16;318.01;380.66;301.67;265.11;170.35;307.85;130.06;200.52;277.82;226.96;462.42
2016;Temmuz;316.84;270.65;192.84;319.08;383.45;302.37;267.9;172.09;312.27;131.85;202.69;279.41;228.12;469.28
2016;Ağustos;310.23;271.02;183.8;320.59;386.79;305.36;268.1;172.75;313.2;131.99;203.43;286.71;228.88;467.48
2016;Eylül;307.86;271.19;177.39;321.92;390.14;305.55;267.79;173.12;321.63;132.32;202.55;292.4;229.67;465.64
